Num Ranks	Message Size (N^2 B)	Time (s/100 Trials)
2	1	0.00574182
2	2	0.00466415
2	3	0.00503514
2	4	0.00470579
2	5	0.00457317
2	6	0.00445443
2	7	0.00603899
2	8	0.00838048
2	9	0.00544474
2	10	0.00510389
2	11	0.00496414
2	12	0.00721024
2	13	0.0113039
2	14	0.0188517
2	15	0.0120034
2	16	0.0248507
2	17	0.0812157
2	18	0.156029
2	19	0.267379
2	20	0.535632
4	1	0.00740606
4	2	0.00690901
4	3	0.00673217
4	4	0.00669754
4	5	0.00691322
4	6	0.00698856
4	7	0.00649074
4	8	0.0088775
4	9	0.00642008
4	10	0.00736811
4	11	0.00662728
4	12	0.00497994
4	13	0.00685422
4	14	0.0046115
4	15	0.00709465
4	16	0.0495966
4	17	0.0932427
4	18	0.159477
4	19	0.27146
4	20	0.564127
8	1	0.00802754
8	2	0.00751823
8	3	0.00721257
8	4	0.0074106
8	5	0.00687166
8	6	0.00693861
8	7	0.00677579
8	8	0.00680785
8	9	0.00721507
8	10	0.00695256
8	11	0.0069413
8	12	0.00551985
8	13	0.00600656
8	14	0.00625156
8	15	0.0082622
8	16	0.0785224
8	17	0.147861
8	18	0.279339
8	19	0.579693
8	20	1.06691
16	1	0.012324
16	2	0.0111031
16	3	0.0117373
16	4	0.00940831
16	5	0.00912719
16	6	0.0103905
16	7	0.00894213
16	8	0.00876824
16	9	0.00903618
16	10	0.00844186
16	11	0.00838968
16	12	0.00820811
16	13	0.00869668
16	14	0.00932827
16	15	0.0111759
16	16	0.0545248
16	17	0.0962624
16	18	0.160696
16	19	0.292612
16	20	0.571511
32	1	0.0211114
32	2	0.0132169
32	3	0.0127655
32	4	0.0124326
32	5	0.0109798
32	6	0.0116764
32	7	0.0115009
32	8	0.00981585
32	9	0.00928314
32	10	0.00973172
32	11	0.0109851
32	12	0.0120469
32	13	0.0137162
32	14	0.0158813
32	15	0.0233956
32	16	0.424535
32	17	0.810006
32	18	1.59285
32	19	3.17003
32	20	6.32726
64	1	0.0351383
64	2	0.0246919
64	3	0.0230479
64	4	0.0227612
64	5	0.025534
64	6	0.0180735
64	7	0.0148552
64	8	0.0144924
64	9	0.0142536
64	10	0.0136614
64	11	0.0192734
64	12	0.0142825
64	13	0.0121957
64	14	0.0126603
64	15	0.0133218
64	16	0.0832892
64	17	0.154564
64	18	0.272979
64	19	0.581936
64	20	1.075
128	1	0.0267167
128	2	0.0163908
128	3	0.0172112
128	4	0.0167422
128	5	0.0165276
128	6	0.0167376
128	7	0.0242845
128	8	0.0156324
128	9	0.0180713
128	10	0.0164408
128	11	0.0144657
128	12	0.014944
128	13	0.0139481
128	14	0.0158557
128	15	0.0178675
128	16	0.0885145
128	17	0.181139
128	18	0.284754
128	19	0.621395
128	20	1.12882
256	1	0.0273062
256	2	0.0224531
256	3	0.023011
256	4	0.0247378
256	5	0.0271339
256	6	0.0229941
256	7	0.0230595
256	8	0.0241205
256	9	0.0267697
256	10	0.0232824
256	11	0.711904
256	12	0.0304676
256	13	0.0284617
256	14	0.032671
256	15	0.0403252
256	16	0.969425
256	17	1.84771
256	18	5.75252
256	19	7.38807
256	20	14.0336
