Num Ranks	Message Size (2^N)	Time (s/100 Trials)
2	1	0.00420247
2	2	0.00594405
2	3	0.00510823
2	4	0.00528873
2	5	0.0054497
2	6	0.00396307
2	7	0.00415822
2	8	0.00535657
2	9	0.0114162
2	10	0.00583654
2	11	0.00445383
2	12	0.00598542
2	13	0.0108212
2	14	0.0127215
2	15	0.0162728
2	16	0.0263571
2	17	0.0808673
2	18	0.151672
2	19	0.262776
2	20	0.485043
4	1	0.00500969
4	2	0.00678934
4	3	0.00510165
4	4	0.0037788
4	5	0.00373306
4	6	0.00344992
4	7	0.00376648
4	8	0.00417895
4	9	0.00554633
4	10	0.00524871
4	11	0.00433738
4	12	0.00552088
4	13	0.00563378
4	14	0.00852709
4	15	0.00734997
4	16	0.0485166
4	17	0.0832557
4	18	0.168806
4	19	0.274563
4	20	0.590472
8	1	0.00781456
8	2	0.00733612
8	3	0.00695064
8	4	0.00716125
8	5	0.00801116
8	6	0.00763582
8	7	0.0069228
8	8	0.00712574
8	9	0.00724108
8	10	0.00704356
8	11	0.00698246
8	12	0.00544763
8	13	0.00624613
8	14	0.00662995
8	15	0.00954398
8	16	0.10962
8	17	0.200786
8	18	0.377528
8	19	0.734809
8	20	1.38124
16	1	0.0262404
16	2	0.0094852
16	3	0.00943534
16	4	0.00956426
16	5	0.0483034
16	6	0.00814378
16	7	0.00836944
16	8	0.00972976
16	9	0.00994217
16	10	0.0109546
16	11	0.0101789
16	12	0.0096352
16	13	0.00940746
16	14	0.00985701
16	15	0.00986466
16	16	0.13869
16	17	0.260959
16	18	0.530774
16	19	0.963087
16	20	1.85945
32	1	0.0189708
32	2	0.0136698
32	3	0.0141083
32	4	0.0129254
32	5	0.0100755
32	6	0.0105428
32	7	0.0100127
32	8	0.00877853
32	9	0.00898062
32	10	0.00923054
32	11	0.00905271
32	12	0.00979692
32	13	0.0100406
32	14	0.0125659
32	15	0.0157052
32	16	0.167583
32	17	0.32636
32	18	0.596066
32	19	1.15299
32	20	2.34539
64	1	0.0491793
64	2	0.0191705
64	3	0.0211339
64	4	0.020585
64	5	0.0603369
64	6	0.0193938
64	7	0.0192752
64	8	0.0189863
64	9	0.0142237
64	10	0.0141072
64	11	0.0152202
64	12	0.0185247
64	13	0.016066
64	14	0.0175413
64	15	0.0246782
64	16	0.571217
64	17	1.08951
64	18	2.1498
64	19	4.27555
64	20	8.53058
128	1	0.0350853
128	2	0.0243952
128	3	0.0252936
128	4	0.0245104
128	5	0.0247359
128	6	0.0246553
128	7	0.0236094
128	8	0.0245353
128	9	0.0239893
128	10	0.0231491
128	11	0.0227606
128	12	0.0276337
128	13	0.0300121
128	14	0.0365684
128	15	0.0549726
128	16	1.83498
128	17	3.45121
128	18	6.8613
128	19	13.684
128	20	27.3726
256	1	0.0850235
256	2	0.0449156
256	3	0.0318128
256	4	0.0319992
256	5	0.0322225
256	6	0.0307774
256	7	0.0312407
256	8	0.0662131
256	9	0.0317475
256	10	0.0330216
256	11	0.032887
256	12	0.0427307
256	13	0.0488895
256	14	0.0623053
256	15	0.088955
256	16	3.00178
256	17	5.79059
256	18	11.8101
256	19	23.0171
256	20	45.118
